e43987ae07a1e3ba4b1fb63273069028e4e3d2ce,"updating version info
",numpy/version.py
ed222704c323f2a7038790842ec32c1ba8b26a4d,"Add PyArray_CompareString to multiarray_api instead of
array_api so as not to disturb the current order of the API.
",numpy/core/code_generators/array_api_order.txt,numpy/core/code_generators/multiarray_api_order.txt,numpy/core/src/arrayobject.c
39b8259692f4eafd56621a563bac5095ecfc2e7a,"Add PyArray_CompareString to the API.
",numpy/core/code_generators/array_api_order.txt,numpy/core/src/arrayobject.c
e7e2cad2579e367bc37178b494c21d6db2543382,"test_set_fields: filter out the warning
",numpy/ma/tests/test_mrecords.py
35c2f9f10aff581c2294312ed2a9586610f901d0,"Add one-more test case using getmap to supplement the setmap test.
",numpy/core/tests/test_regression.py
9525f467ce805c1aba6d590733f3bc224f9dc84e,"fixed whitespace w/ reindent
",numpy/__init__.py,numpy/core/scons_support.py,numpy/core/tests/test_defmatrix.py,numpy/core/tests/test_regression.py,numpy/distutils/command/scons.py,numpy/distutils/conv_template.py,numpy/doc/example.py,numpy/lib/tests/test_function_base.py,numpy/ma/core.py,numpy/ma/extras.py,numpy/ma/mrecords.py,numpy/ma/tests/test_core.py,numpy/ma/tests/test_mrecords.py,numpy/ma/testutils.py
0e968fdb7c04d1397ba5a28e0c7a2a6261fe916e,"Fix bug reported on SciPy mailing list which arose when the results of a broadcast were too large to fit in memory and the simple MultiplyList function is not doing overflow detection.  Create a new funtion that does Overflow detection but apply it sparingly. morarge broadcast results could caus 
",numpy/core/code_generators/multiarray_api_order.txt,numpy/core/src/arrayobject.c,numpy/core/src/multiarraymodule.c,numpy/core/tests/test_regression.py
ae31c236681a2f2c652bd63c4e568f35085248c5,"Fix ticket #789 again.
",numpy/core/src/multiarraymodule.c,numpy/core/tests/test_regression.py
1181f98d28b38385f3ca6a75af97649f7f01934a,"Remove trailing space.
",numpy/core/src/multiarraymodule.c
d8c092816ab6b611692d992cbfaf882a10424793,"Fix #789 by Alan Mcintyre.
",numpy/core/src/multiarraymodule.c,numpy/core/tests/test_regression.py
ceb9ec29824966383c20364697a330577bd159d5,"Make test(all=True) the default.
",numpy/testing/numpytest.py
a49dcfc6e7425065e6a06a115b85ff287937e5dc,"Fix comments in tests.
",numpy/core/tests/test_regression.py
7be946bfab3e6fe3cc9852fd962f5c398dff38aa,"Fix the logic testing for potential problems with array subclasses.
",numpy/core/src/arrayobject.c,numpy/core/tests/test_regression.py
43cfd258ebff5f4ad5f9a8ebff86e24cd0f96900,"Fix ordering assumption in regression test.
",numpy/linalg/tests/test_regression.py
f5df20ee8a938f8504ed23cd5dc8913e01219f5d,"Fix one small error in test(all=1).
",numpy/ma/tests/test_old_ma.py
6cdb11fe2178de6946ef011a86917c1525f912bd,"Try again to fix the endianness tests.
",numpy/core/tests/test_multiarray.py
2a72de6eb18a61f7711683c5bd243923f7ffe364,"Fix unit test capturing under Python 2.6.
",numpy/testing/numpytest.py
aa4bc9eb83d61f4c6bf62cf09c986ec11d8106df,"Update build script.
",tools/win32build/build.py
b6590c54965a85cea6e9bb194637e198c4cad136,"
- win32 build script is now functional. Still does not handle svn version,
  though
- Fix indentation on the win32 build script.

",tools/win32build/build.py
b7cb2d53f6a907140f6deeb8176cd46f031d66de,"Add a tools directory, to hold various things related to build, etc... Add a python script to build win32 binaries.
",tools/win32build/build.py
e94a1294a6e22e1dddccbf68fe19b29e7fe84dab,"Use pyrexc to compile mtrand.pyx for 1.1.
",numpy/random/mtrand/mtrand.c
